2023-05-11-16-00-55,stress,96bpm,-1.0Hz,2.0dBm,100.0%,67%
2023-05-11-16-00-56,calm,0bpm,-1.0Hz,0.0dBm,100.0%,100%
2023-05-11-16-00-57,calm,0bpm,-1.0Hz,0.0dBm,100.0%,100%
2023-05-11-16-00-58,stress,0bpm,167.0Hz,1.0dBm,17.349064%,67%
2023-05-11-16-00-59,stress,0bpm,182.0Hz,1.0dBm,7.946539%,67%
2023-05-11-16-01-00,calm,0bpm,-1.0Hz,1.0dBm,100.0%,100%
2023-05-11-16-01-01,calm,0bpm,-1.0Hz,1.0dBm,100.0%,100%
2023-05-11-16-01-02,stress,0bpm,214.0Hz,7.0dBm,5.4143248%,50%
2023-05-11-16-01-03,calm,75bpm,-1.0Hz,0.0dBm,100.0%,100%
2023-05-11-16-01-04,stress,76bpm,157.0Hz,27.0dBm,4.8460064%,67%
2023-05-11-16-01-05,calm,78bpm,-1.0Hz,0.0dBm,100.0%,100%
2023-05-11-16-01-06,calm,79bpm,-1.0Hz,0.0dBm,100.0%,100%
2023-05-11-16-01-07,calm,79bpm,256.0Hz,4.0dBm,12.776571%,100%
2023-05-11-16-01-08,calm,79bpm,129.0Hz,3.0dBm,4.557824%,100%
2023-05-11-16-01-09,calm,79bpm,-1.0Hz,0.0dBm,100.0%,100%
2023-05-11-16-01-10,calm,78bpm,-1.0Hz,0.0dBm,100.0%,100%
2023-05-11-16-01-11,calm,79bpm,-1.0Hz,0.0dBm,100.0%,100%
2023-05-11-16-01-12,calm,79bpm,-1.0Hz,0.0dBm,100.0%,100%
2023-05-11-16-01-13,stress,78bpm,204.0Hz,8.0dBm,0.7243216%,50%
2023-05-11-16-01-14,calm,78bpm,-1.0Hz,0.0dBm,100.0%,100%
2023-05-11-16-01-15,calm,78bpm,-1.0Hz,0.0dBm,100.0%,100%
2023-05-11-16-01-16,calm,78bpm,-1.0Hz,0.0dBm,100.0%,100%
2023-05-11-16-01-17,calm,77bpm,122.0Hz,2.0dBm,18.14199%,100%
2023-05-11-16-01-18,calm,79bpm,-1.0Hz,0.0dBm,100.0%,100%
2023-05-11-16-01-19,calm,79bpm,124.0Hz,7.0dBm,8.355355%,100%
2023-05-11-16-01-20,stress,80bpm,-1.0Hz,47.0dBm,100.0%,83%
2023-05-11-16-01-21,stress,80bpm,-1.0Hz,1.0dBm,100.0%,67%
2023-05-11-16-01-22,stress,80bpm,-1.0Hz,7.0dBm,100.0%,67%
2023-05-11-16-01-23,calm,79bpm,-1.0Hz,0.0dBm,100.0%,100%
2023-05-11-16-01-24,calm,78bpm,120.0Hz,8.0dBm,4.781759%,100%
2023-05-11-16-01-25,calm,78bpm,-1.0Hz,0.0dBm,100.0%,100%
2023-05-11-16-01-26,calm,77bpm,-1.0Hz,7.0dBm,100.0%,100%
2023-05-11-16-01-27,calm,76bpm,-1.0Hz,0.0dBm,100.0%,100%
2023-05-11-16-01-28,calm,75bpm,-1.0Hz,5.0dBm,100.0%,100%
2023-05-11-16-01-29,calm,75bpm,-1.0Hz,3.0dBm,100.0%,100%
2023-05-11-16-01-30,stress,76bpm,201.0Hz,8.0dBm,1.3986945%,50%
2023-05-11-16-01-31,calm,78bpm,-1.0Hz,1.0dBm,100.0%,100%
2023-05-11-16-01-32,calm,78bpm,-1.0Hz,0.0dBm,100.0%,100%
2023-05-11-16-01-33,stress,77bpm,250.0Hz,1.0dBm,18.760563%,50%
2023-05-11-16-01-34,stress,75bpm,203.0Hz,6.0dBm,4.2528152%,50%
2023-05-11-16-01-35,stress,74bpm,178.0Hz,4.0dBm,1.2824059%,67%
2023-05-11-16-01-36,calm,73bpm,-1.0Hz,0.0dBm,100.0%,100%
2023-05-11-16-01-37,calm,73bpm,98.0Hz,0.0dBm,18.91507%,100%
2023-05-11-16-01-38,calm,74bpm,-1.0Hz,0.0dBm,100.0%,100%
2023-05-11-16-01-39,calm,74bpm,-1.0Hz,0.0dBm,100.0%,100%
2023-05-11-16-01-40,calm,75bpm,-1.0Hz,0.0dBm,100.0%,100%
2023-05-11-16-01-41,stress,75bpm,-1.0Hz,74.0dBm,100.0%,50%
2023-05-11-16-01-42,calm,76bpm,-1.0Hz,0.0dBm,100.0%,100%
2023-05-11-16-01-43,calm,75bpm,-1.0Hz,7.0dBm,100.0%,100%
2023-05-11-16-01-44,stress,74bpm,178.0Hz,13.0dBm,19.84914%,67%
2023-05-11-16-01-45,calm,73bpm,-1.0Hz,0.0dBm,100.0%,100%
2023-05-11-16-01-46,calm,73bpm,-1.0Hz,0.0dBm,100.0%,100%
2023-05-11-16-01-47,calm,73bpm,-1.0Hz,0.0dBm,100.0%,100%
2023-05-11-16-01-48,calm,73bpm,-1.0Hz,0.0dBm,100.0%,100%
2023-05-11-16-01-49,calm,73bpm,-1.0Hz,3.0dBm,100.0%,100%
2023-05-11-16-01-50,calm,73bpm,-1.0Hz,1.0dBm,100.0%,100%
2023-05-11-16-01-51,calm,74bpm,-1.0Hz,0.0dBm,100.0%,100%
2023-05-11-16-01-52,calm,74bpm,-1.0Hz,1.0dBm,100.0%,100%
2023-05-11-16-01-53,calm,75bpm,-1.0Hz,6.0dBm,100.0%,100%
2023-05-11-16-01-54,calm,76bpm,-1.0Hz,0.0dBm,100.0%,100%
2023-05-11-16-01-55,calm,77bpm,-1.0Hz,0.0dBm,100.0%,100%
2023-05-11-16-01-56,calm,77bpm,-1.0Hz,0.0dBm,100.0%,100%
2023-05-11-16-01-57,calm,77bpm,-1.0Hz,0.0dBm,100.0%,100%
2023-05-11-16-01-58,calm,77bpm,-1.0Hz,3.0dBm,100.0%,100%
2023-05-11-16-01-59,stress,78bpm,132.0Hz,3.0dBm,17.655909%,67%
2023-05-11-16-02-00,calm,78bpm,-1.0Hz,0.0dBm,100.0%,100%
2023-05-11-16-02-01,stress,79bpm,132.0Hz,4.0dBm,13.45188%,67%
2023-05-11-16-02-02,calm,79bpm,-1.0Hz,0.0dBm,100.0%,100%
2023-05-11-16-02-03,stress,80bpm,248.0Hz,2.0dBm,5.82906%,67%
2023-05-11-16-02-04,calm,79bpm,-1.0Hz,0.0dBm,100.0%,100%
2023-05-11-16-02-05,calm,79bpm,-1.0Hz,2.0dBm,100.0%,100%
2023-05-11-16-02-06,stress,78bpm,208.0Hz,4.0dBm,12.069201%,50%
2023-05-11-16-02-07,stress,79bpm,209.0Hz,15.0dBm,2.8217256%,50%
2023-05-11-16-02-08,calm,78bpm,-1.0Hz,0.0dBm,100.0%,100%
2023-05-11-16-02-09,calm,78bpm,-1.0Hz,13.0dBm,100.0%,100%
2023-05-11-16-02-10,calm,78bpm,-1.0Hz,1.0dBm,100.0%,100%
2023-05-11-16-02-11,calm,78bpm,-1.0Hz,0.0dBm,100.0%,100%
2023-05-11-16-02-12,calm,76bpm,-1.0Hz,4.0dBm,100.0%,100%
2023-05-11-16-02-13,calm,76bpm,128.0Hz,6.0dBm,13.269144%,100%
2023-05-11-16-02-14,stress,77bpm,152.0Hz,15.0dBm,13.164389%,67%
2023-05-11-16-02-15,stress,77bpm,141.0Hz,41.0dBm,10.618991%,83%
2023-05-11-16-02-16,calm,78bpm,-1.0Hz,22.0dBm,100.0%,100%
2023-05-11-16-02-17,calm,79bpm,128.0Hz,8.0dBm,12.041653%,100%
2023-05-11-16-02-18,stress,80bpm,-1.0Hz,0.0dBm,100.0%,67%
2023-05-11-16-02-19,stress,81bpm,-1.0Hz,0.0dBm,100.0%,67%
2023-05-11-16-02-20,stress,82bpm,-1.0Hz,0.0dBm,100.0%,67%
