2023-05-16-15-46-54,stress,81bpm,-1.0Hz,33.0dBm,100.0%,67%
2023-05-16-15-46-55,stress,80bpm,-1.0Hz,12.0dBm,100.0%,67%
2023-05-16-15-46-56,calm,79bpm,-1.0Hz,31.0dBm,100.0%,100%
2023-05-16-15-46-57,stress,78bpm,139.0Hz,34.0dBm,18.4317%,67%
2023-05-16-15-46-58,stress,77bpm,149.0Hz,37.0dBm,16.462208%,67%
2023-05-16-15-46-59,calm,78bpm,-1.0Hz,20.0dBm,100.0%,100%
2023-05-16-15-47-00,stress,78bpm,77.0Hz,55.0dBm,18.85432%,50%
2023-05-16-15-47-02,calm,79bpm,-1.0Hz,24.0dBm,100.0%,100%
2023-05-16-15-47-02,calm,79bpm,-1.0Hz,16.0dBm,100.0%,100%
2023-05-16-15-47-03,stress,81bpm,-1.0Hz,21.0dBm,100.0%,67%
2023-05-16-15-47-04,stress,82bpm,224.0Hz,26.0dBm,9.830893%,67%
2023-05-16-15-47-05,stress,83bpm,270.0Hz,28.0dBm,19.834835%,67%
2023-05-16-15-47-06,stress,85bpm,-1.0Hz,30.0dBm,100.0%,67%
2023-05-16-15-47-07,stress,86bpm,-1.0Hz,23.0dBm,100.0%,67%
2023-05-16-15-47-08,stress,85bpm,-1.0Hz,16.0dBm,100.0%,67%
2023-05-16-15-47-09,stress,85bpm,-1.0Hz,9.0dBm,100.0%,67%
2023-05-16-15-47-10,stress,84bpm,-1.0Hz,9.0dBm,100.0%,67%
2023-05-16-15-47-11,stress,81bpm,-1.0Hz,13.0dBm,100.0%,67%
2023-05-16-15-47-12,stress,79bpm,213.0Hz,39.0dBm,19.713366%,50%
2023-05-16-15-47-13,stress,80bpm,199.0Hz,55.0dBm,8.624977%,83%
2023-05-16-15-47-14,stress,80bpm,-1.0Hz,21.0dBm,100.0%,67%
2023-05-16-15-47-15,stress,81bpm,-1.0Hz,44.0dBm,100.0%,83%
2023-05-16-15-47-17,stress,82bpm,-1.0Hz,46.0dBm,100.0%,83%
2023-05-16-15-47-18,stress,84bpm,-1.0Hz,0.0dBm,100.0%,67%
2023-05-16-15-47-19,stress,85bpm,-1.0Hz,0.0dBm,100.0%,67%
2023-05-16-15-47-20,stress,86bpm,-1.0Hz,0.0dBm,100.0%,67%
