2023-05-19-14-31-51,calm,0bpm,0.0Hz,0.0dBm,0.0%,100%
2023-05-19-14-31-51,calm,71bpm,-1.0Hz,1.0dBm,100.0%,100%
2023-05-19-14-31-52,calm,74bpm,-1.0Hz,0.0dBm,100.0%,100%
2023-05-19-14-31-53,calm,74bpm,-1.0Hz,1.0dBm,100.0%,100%
2023-05-19-14-31-54,calm,75bpm,-1.0Hz,0.0dBm,100.0%,100%
2023-05-19-14-31-55,stress,75bpm,182.0Hz,27.0dBm,0.38665533%,67%
2023-05-19-14-31-56,calm,73bpm,-1.0Hz,0.0dBm,100.0%,100%
2023-05-19-14-31-57,calm,73bpm,-1.0Hz,1.0dBm,100.0%,100%
2023-05-19-14-31-58,calm,74bpm,-1.0Hz,1.0dBm,100.0%,100%
2023-05-19-14-31-59,calm,75bpm,-1.0Hz,0.0dBm,100.0%,100%
2023-05-19-14-32-00,calm,75bpm,-1.0Hz,0.0dBm,100.0%,100%
2023-05-19-14-32-01,calm,75bpm,-1.0Hz,1.0dBm,100.0%,100%
2023-05-19-14-32-02,calm,78bpm,-1.0Hz,0.0dBm,100.0%,100%
2023-05-19-14-32-03,stress,78bpm,182.0Hz,22.0dBm,2.7659059%,67%
2023-05-19-14-32-04,stress,81bpm,-1.0Hz,1.0dBm,100.0%,67%
2023-05-19-14-32-05,stress,84bpm,222.0Hz,26.0dBm,1.7546356%,67%
2023-05-19-14-32-06,stress,83bpm,-1.0Hz,0.0dBm,100.0%,67%
2023-05-19-14-32-07,stress,84bpm,241.0Hz,42.0dBm,1.2487113%,83%
2023-05-19-14-32-08,stress,86bpm,243.0Hz,6.0dBm,2.8512%,67%
2023-05-19-14-32-09,stress,86bpm,178.0Hz,7.0dBm,1.439476%,83%
2023-05-19-14-32-10,stress,84bpm,392.0Hz,3.0dBm,4.270357%,67%
2023-05-19-14-32-11,stress,86bpm,208.0Hz,17.0dBm,1.0922372%,67%
2023-05-19-14-32-12,stress,87bpm,-1.0Hz,0.0dBm,100.0%,67%
2023-05-19-14-32-13,stress,87bpm,-1.0Hz,2.0dBm,100.0%,67%
2023-05-19-14-32-14,stress,87bpm,-1.0Hz,0.0dBm,100.0%,67%
2023-05-19-14-32-15,stress,88bpm,-1.0Hz,0.0dBm,100.0%,67%
2023-05-19-14-32-16,stress,87bpm,381.0Hz,1.0dBm,19.036997%,67%
2023-05-19-14-32-17,stress,86bpm,-1.0Hz,0.0dBm,100.0%,67%
2023-05-19-14-32-18,stress,86bpm,-1.0Hz,147.0dBm,100.0%,67%
2023-05-19-14-32-19,stress,85bpm,-1.0Hz,0.0dBm,100.0%,67%
2023-05-19-14-32-20,stress,84bpm,-1.0Hz,0.0dBm,100.0%,67%
2023-05-19-14-32-21,stress,84bpm,-1.0Hz,0.0dBm,100.0%,67%
2023-05-19-14-32-22,stress,85bpm,-1.0Hz,0.0dBm,100.0%,67%
2023-05-19-14-32-23,stress,85bpm,-1.0Hz,0.0dBm,100.0%,67%
2023-05-19-14-32-24,stress,85bpm,-1.0Hz,0.0dBm,100.0%,67%
2023-05-19-14-32-25,stress,85bpm,-1.0Hz,0.0dBm,100.0%,67%
2023-05-19-14-32-26,stress,84bpm,-1.0Hz,0.0dBm,100.0%,67%
2023-05-19-14-32-27,stress,86bpm,-1.0Hz,0.0dBm,100.0%,67%
2023-05-19-14-32-28,stress,87bpm,-1.0Hz,0.0dBm,100.0%,67%
2023-05-19-14-32-29,stress,87bpm,-1.0Hz,0.0dBm,100.0%,67%
2023-05-19-14-32-30,stress,86bpm,-1.0Hz,0.0dBm,100.0%,67%
2023-05-19-14-32-31,stress,86bpm,-1.0Hz,0.0dBm,100.0%,67%
2023-05-19-14-32-32,stress,85bpm,-1.0Hz,21.0dBm,100.0%,67%
2023-05-19-14-32-33,stress,85bpm,879.0Hz,75.0dBm,15.664757%,67%
2023-05-19-14-32-34,calm,0bpm,77.0Hz,39.0dBm,16.168625%,100%
2023-05-19-14-32-35,calm,0bpm,88.0Hz,29.0dBm,4.1669903%,100%
2023-05-19-14-32-36,calm,0bpm,131.0Hz,37.0dBm,7.6702%,100%
2023-05-19-14-32-37,calm,0bpm,-1.0Hz,11.0dBm,100.0%,100%
2023-05-19-14-32-38,calm,0bpm,-1.0Hz,6.0dBm,100.0%,100%
2023-05-19-14-32-39,calm,0bpm,-1.0Hz,2.0dBm,100.0%,100%
2023-05-19-14-32-40,calm,0bpm,-1.0Hz,8.0dBm,100.0%,100%
2023-05-19-14-32-41,stress,0bpm,78.0Hz,46.0dBm,18.56318%,67%
2023-05-19-14-32-42,stress,0bpm,1393.0Hz,151.0dBm,18.315565%,50%
2023-05-19-14-32-43,calm,0bpm,-1.0Hz,0.0dBm,100.0%,100%
2023-05-19-14-32-44,calm,0bpm,-1.0Hz,0.0dBm,100.0%,100%
2023-05-19-14-32-45,stress,88bpm,-1.0Hz,0.0dBm,100.0%,67%
2023-05-19-14-32-46,stress,90bpm,-1.0Hz,1.0dBm,100.0%,67%
2023-05-19-14-32-47,stress,89bpm,-1.0Hz,1.0dBm,100.0%,67%
2023-05-19-14-32-48,stress,90bpm,-1.0Hz,0.0dBm,100.0%,67%
2023-05-19-14-32-49,stress,93bpm,-1.0Hz,1.0dBm,100.0%,67%
2023-05-19-14-32-50,stress,92bpm,-1.0Hz,2.0dBm,100.0%,67%
2023-05-19-14-32-51,stress,94bpm,-1.0Hz,1.0dBm,100.0%,67%
2023-05-19-14-32-52,stress,93bpm,-1.0Hz,2.0dBm,100.0%,67%
2023-05-19-14-32-53,stress,93bpm,-1.0Hz,0.0dBm,100.0%,67%
2023-05-19-14-32-54,stress,93bpm,-1.0Hz,1.0dBm,100.0%,67%
2023-05-19-14-32-55,stress,92bpm,-1.0Hz,0.0dBm,100.0%,67%
2023-05-19-14-32-56,stress,91bpm,232.0Hz,13.0dBm,11.212373%,67%
2023-05-19-14-32-57,stress,91bpm,227.0Hz,4.0dBm,13.34461%,67%
2023-05-19-14-32-58,stress,90bpm,236.0Hz,4.0dBm,13.661075%,67%
2023-05-19-14-32-59,stress,89bpm,-1.0Hz,1.0dBm,100.0%,67%
2023-05-19-14-33-00,stress,88bpm,-1.0Hz,2.0dBm,100.0%,67%
2023-05-19-14-33-01,stress,85bpm,-1.0Hz,2.0dBm,100.0%,67%
2023-05-19-14-33-02,stress,83bpm,-1.0Hz,2.0dBm,100.0%,67%
2023-05-19-14-33-03,stress,82bpm,-1.0Hz,1.0dBm,100.0%,67%
2023-05-19-14-33-04,stress,81bpm,-1.0Hz,1.0dBm,100.0%,67%
2023-05-19-14-33-05,stress,81bpm,-1.0Hz,2.0dBm,100.0%,67%
2023-05-19-14-33-06,stress,81bpm,-1.0Hz,1.0dBm,100.0%,67%
2023-05-19-14-33-07,stress,81bpm,-1.0Hz,0.0dBm,100.0%,67%
2023-05-19-14-33-08,calm,79bpm,-1.0Hz,1.0dBm,100.0%,100%
2023-05-19-14-33-09,calm,78bpm,-1.0Hz,11.0dBm,100.0%,100%
2023-05-19-14-33-10,calm,77bpm,-1.0Hz,2.0dBm,100.0%,100%
2023-05-19-14-33-11,stress,76bpm,933.0Hz,186.0dBm,0.64523816%,50%
2023-05-19-14-33-12,calm,75bpm,-1.0Hz,0.0dBm,100.0%,100%
2023-05-19-14-33-13,calm,77bpm,-1.0Hz,0.0dBm,100.0%,100%
2023-05-19-14-33-14,calm,76bpm,-1.0Hz,0.0dBm,100.0%,100%
2023-05-19-14-33-15,calm,74bpm,-1.0Hz,0.0dBm,100.0%,100%
2023-05-19-14-33-16,calm,75bpm,-1.0Hz,0.0dBm,100.0%,100%
2023-05-19-14-33-17,calm,77bpm,-1.0Hz,1.0dBm,100.0%,100%
2023-05-19-14-33-18,calm,79bpm,-1.0Hz,8.0dBm,100.0%,100%
2023-05-19-14-33-19,calm,79bpm,-1.0Hz,2.0dBm,100.0%,100%
2023-05-19-14-33-20,calm,78bpm,-1.0Hz,15.0dBm,100.0%,100%
2023-05-19-14-33-21,calm,77bpm,-1.0Hz,1.0dBm,100.0%,100%
2023-05-19-14-33-22,calm,75bpm,-1.0Hz,2.0dBm,100.0%,100%
2023-05-19-14-33-24,calm,73bpm,-1.0Hz,1.0dBm,100.0%,100%
2023-05-19-14-33-24,calm,74bpm,-1.0Hz,0.0dBm,100.0%,100%
2023-05-19-14-33-25,calm,73bpm,-1.0Hz,1.0dBm,100.0%,100%
2023-05-19-14-33-26,calm,72bpm,-1.0Hz,3.0dBm,100.0%,100%
2023-05-19-14-33-27,calm,74bpm,-1.0Hz,1.0dBm,100.0%,100%
2023-05-19-14-33-28,calm,75bpm,-1.0Hz,2.0dBm,100.0%,100%
2023-05-19-14-33-29,calm,76bpm,-1.0Hz,1.0dBm,100.0%,100%
2023-05-19-14-33-31,calm,77bpm,-1.0Hz,1.0dBm,100.0%,100%
2023-05-19-14-33-31,stress,78bpm,209.0Hz,26.0dBm,4.8844934%,50%
2023-05-19-14-33-32,calm,78bpm,-1.0Hz,1.0dBm,100.0%,100%
2023-05-19-14-33-33,stress,79bpm,202.0Hz,23.0dBm,18.754364%,50%
2023-05-19-14-33-34,stress,80bpm,-1.0Hz,1.0dBm,100.0%,67%
2023-05-19-14-33-35,stress,80bpm,-1.0Hz,1.0dBm,100.0%,67%
2023-05-19-14-33-37,stress,80bpm,-1.0Hz,2.0dBm,100.0%,67%
2023-05-19-14-33-37,stress,81bpm,-1.0Hz,16.0dBm,100.0%,67%
2023-05-19-14-33-38,stress,82bpm,-1.0Hz,0.0dBm,100.0%,67%
2023-05-19-14-33-39,stress,82bpm,-1.0Hz,1.0dBm,100.0%,67%
2023-05-19-14-33-40,stress,83bpm,-1.0Hz,0.0dBm,100.0%,67%
2023-05-19-14-33-41,stress,84bpm,-1.0Hz,0.0dBm,100.0%,67%
2023-05-19-14-33-42,stress,84bpm,202.0Hz,76.0dBm,7.920307%,67%
2023-05-19-14-33-43,stress,85bpm,-1.0Hz,33.0dBm,100.0%,67%
2023-05-19-14-33-44,stress,84bpm,-1.0Hz,101.0dBm,100.0%,67%
2023-05-19-14-33-45,stress,83bpm,-1.0Hz,17.0dBm,100.0%,67%
2023-05-19-14-33-46,stress,84bpm,213.0Hz,172.0dBm,9.346414%,67%
2023-05-19-14-33-47,stress,84bpm,-1.0Hz,20.0dBm,100.0%,67%
2023-05-19-14-33-48,stress,84bpm,248.0Hz,70.0dBm,4.0388527%,67%
